Date,NVDA
2021-08-05,20.565866470336914
2021-08-06,20.295801162719727
2021-08-09,20.22504425048828
2021-08-10,19.867284774780273
2021-08-11,19.631103515625
2021-08-12,19.836389541625977
2021-08-13,20.1184139251709
2021-08-16,19.88123321533203
2021-08-17,19.390926361083984
2021-08-18,18.974367141723633
2021-08-19,19.72975730895996
2021-08-20,20.744247436523438
2021-08-23,21.882312774658203
2021-08-24,21.717884063720703
2021-08-25,22.136432647705078
2021-08-26,21.991931915283203
2021-08-27,22.557971954345703
2021-08-30,22.609792709350586
2021-08-31,22.311769485473633
2021-09-01,22.367589950561523
2021-09-02,22.32274055480957
2021-09-03,22.768278121948242
2021-09-07,22.587867736816406
2021-09-08,22.265918731689453
2021-09-09,22.10445213317871
2021-09-10,22.40447235107422
2021-09-13,22.079538345336914
2021-09-14,22.16924476623535
2021-09-15,22.267913818359375
2021-09-16,22.16924476623535
2021-09-17,21.828359603881836
2021-09-20,21.043928146362305
2021-09-21,21.176502227783203
2021-09-22,21.869224548339844
2021-09-23,22.4084529876709
2021-09-24,22.00876808166504
2021-09-27,21.589147567749023
2021-09-28,20.63128662109375
2021-09-29,20.44988250732422
2021-09-30,20.648231506347656
2021-10-01,20.674148559570312
2021-10-04,19.667449951171875
2021-10-05,20.384096145629883
2021-10-06,20.632287979125977
2021-10-07,21.006057739257812
2021-10-08,20.762855529785156
2021-10-11,20.627304077148438
2021-10-12,20.603378295898438
2021-10-13,20.870502471923828
2021-10-14,21.67486572265625
2021-10-15,21.790483474731445
2021-10-18,22.149301528930664
2021-10-19,22.217082977294922
2021-10-20,22.03069496154785
2021-10-21,22.617769241333008
2021-10-22,22.651662826538086
2021-10-25,23.09022331237793
2021-10-26,24.636144638061523
2021-10-27,24.37101173400879
2021-10-28,24.859411239624023
2021-10-29,25.483362197875977
2021-11-01,25.74251365661621
2021-11-02,26.314634323120117
2021-11-03,26.5109920501709
2021-11-04,29.70351791381836
2021-11-05,29.654672622680664
2021-11-08,30.703235626220703
2021-11-09,30.556711196899414
2021-11-10,29.36263656616211
2021-11-11,30.290584564208984
2021-11-12,30.290584564208984
2021-11-15,29.926780700683594
2021-11-16,30.10420036315918
2021-11-17,29.1652774810791
2021-11-18,31.57138442993164
2021-11-19,32.87709426879883
2021-11-22,31.85146713256836
2021-11-23,31.64215087890625
2021-11-24,32.567115783691406
2021-11-26,31.399940490722656
2021-11-29,33.26681900024414
2021-11-30,32.5691032409668
2021-12-01,31.33600616455078
2021-12-02,32.02482223510742
2021-12-03,30.596342086791992
2021-12-06,29.942405700683594
2021-12-07,32.32487869262695
2021-12-08,31.725778579711914
2021-12-09,30.393980026245117
2021-12-10,30.102901458740234
2021-12-13,28.07231330871582
2021-12-14,28.24776268005371
2021-12-15,30.363080978393555
2021-12-16,28.2976016998291
2021-12-17,27.71344566345215
2021-12-20,27.631704330444336
2021-12-21,28.983440399169922
2021-12-22,29.307415008544922
2021-12-23,29.546659469604492
2021-12-27,30.847543716430664
2021-12-28,30.22650909423828
2021-12-29,29.90652084350586
2021-12-30,29.492826461791992
2021-12-31,29.318382263183594
2022-01-03,30.026140213012695
2022-01-04,29.197763442993164
2022-01-05,27.517070770263672
2022-01-06,28.089256286621094
2022-01-07,27.161195755004883
2022-01-10,27.313711166381836
2022-01-11,27.729398727416992
2022-01-12,27.91082763671875
2022-01-13,26.49131202697754
2022-01-14,26.857152938842773
2022-01-18,25.821426391601562
2022-01-19,24.98805809020996
2022-01-20,24.07394790649414
2022-01-21,23.30039405822754
2022-01-24,23.298398971557617
2022-01-25,22.253698348999023
2022-01-26,22.700286865234375
2022-01-27,21.874889373779297
2022-01-28,22.768075942993164
2022-01-31,24.408889770507812
2022-02-01,24.560413360595703
2022-02-02,25.162508010864258
2022-02-03,23.87258529663086
2022-02-04,24.242416381835938
2022-02-07,24.650129318237305
2022-02-08,25.028928756713867
2022-02-09,26.62090301513672
2022-02-10,25.742671966552734
2022-02-11,23.87358283996582
2022-02-14,24.19057846069336
2022-02-15,26.41156578063965
2022-02-16,26.427509307861328
2022-02-17,24.429821014404297
2022-02-18,23.567546844482422
2022-02-22,23.31633949279785
2022-02-23,22.316495895385742
2022-02-24,23.6732120513916
2022-02-25,24.0809268951416
2022-02-28,24.30820655822754
2022-03-01,23.403066635131836
2022-03-02,24.147838592529297
2022-03-03,23.643352508544922
2022-03-04,22.8676700592041
2022-03-07,21.288381576538086
2022-03-08,21.44990348815918
2022-03-09,22.945430755615234
2022-03-10,22.59049415588379
2022-03-11,22.03415870666504
2022-03-14,21.26645278930664
2022-03-15,22.904556274414062
2022-03-16,24.423017501831055
2022-03-17,24.692214965820312
2022-03-18,26.374183654785156
2022-03-21,26.654348373413086
2022-03-22,26.444976806640625
2022-03-23,25.557626724243164
2022-03-24,28.066133499145508
2022-03-25,27.6094913482666
2022-03-28,28.13492774963379
2022-03-29,28.57062530517578
2022-03-30,27.607501983642578
2022-03-31,27.2047061920166
2022-04-01,26.63241195678711
2022-04-04,27.278484344482422
2022-04-05,25.853736877441406
2022-04-06,24.33428382873535
2022-04-07,24.13587760925293
2022-04-08,23.050121307373047
2022-04-11,21.851699829101562
2022-04-12,21.439929962158203
2022-04-13,22.1368465423584
2022-04-14,21.194665908813477
2022-04-18,21.71809959411621
2022-04-19,22.131858825683594
2022-04-20,21.417997360229492
2022-04-21,20.122865676879883
2022-04-22,19.456857681274414
2022-04-25,19.842708587646484
2022-04-26,18.732023239135742
2022-04-27,18.360137939453125
2022-04-28,19.723066329956055
2022-04-29,18.491743087768555
2022-05-02,19.474803924560547
2022-05-03,19.543596267700195
2022-05-04,20.27341651916504
2022-05-05,18.787851333618164
2022-05-06,18.619361877441406
2022-05-09,16.899497985839844
2022-05-10,17.542577743530273
2022-05-11,16.58045196533203
2022-05-12,16.126808166503906
2022-05-13,17.65324592590332
2022-05-16,17.21256446838379
