Date,TSLA
2022-02-18,285.6600036621094
2022-02-22,273.84332275390625
2022-02-23,254.67999267578125
2022-02-24,266.92333984375
2022-02-25,269.9566650390625
2022-02-28,290.1433410644531
2022-03-01,288.1233215332031
2022-03-02,293.2966613769531
2022-03-03,279.7633361816406
2022-03-04,279.42999267578125
2022-03-07,268.1933288574219
2022-03-08,274.79998779296875
2022-03-09,286.3233337402344
2022-03-10,279.4333190917969
2022-03-11,265.1166687011719
2022-03-14,255.4566650390625
2022-03-15,267.2966613769531
2022-03-16,280.07666015625
2022-03-17,290.5333251953125
2022-03-18,301.7966613769531
2022-03-21,307.0533447265625
2022-03-22,331.32666015625
2022-03-23,333.03668212890625
2022-03-24,337.97332763671875
2022-03-25,336.8800048828125
2022-03-28,363.9466552734375
2022-03-29,366.5233459472656
2022-03-30,364.663330078125
2022-03-31,359.20001220703125
2022-04-01,361.5299987792969
2022-04-04,381.8166809082031
2022-04-05,363.7533264160156
2022-04-06,348.586669921875
2022-04-07,352.4200134277344
2022-04-08,341.8299865722656
2022-04-11,325.30999755859375
2022-04-12,328.98333740234375
2022-04-13,340.7900085449219
2022-04-14,328.3333435058594
2022-04-18,334.7633361816406
2022-04-19,342.7166748046875
2022-04-20,325.73333740234375
2022-04-21,336.260009765625
2022-04-22,335.01666259765625
